condition,frac_on_target_left,invalid_reason,max_error_mm_left,participant,phase_lag_s_left,rms_error_mm_left,rms_error_mm_right,scenario,speed_left,speed_right,task,unimanual,valid,wear_time_s
shared,1.0,,6.8067397959666405,P00,-8.239999999999824,3.4710966253577626,23.388423558304353,B2_right_only,0.0,0.2,T7_pursuit,right,True,640
assisted,1.0,,26.45079553880898,P01,0.19999999999999574,13.430290268872493,13.296956481005598,S1_both_slow,0.05,0.05,T7_pursuit,,True,660
assisted,0.463,,62.48588841913149,P01,0.19999999999999574,41.30644004641118,16.89704378845445,S2_one_fast,0.2,0.05,T7_pursuit,,True,680
assisted,0.427,,73.98795974826726,P01,0.19999999999999574,43.3351239847133,43.12253595125397,S3_both_fast,0.2,0.2,T7_pursuit,,True,700
assisted,0.121,,88.30702254063975,P01,0.19999999999999574,58.85540760541346,24.210211430490535,S4_asymmetric,0.3,0.08,T7_pursuit,,True,720
assisted,0.494,,62.637165255415006,P01,0.19999999999999574,40.75545609636984,11.327292978103808,B1_left_only,0.2,0.0,T7_pursuit,left,True,740
assisted,1.0,,20.996946820233138,P01,-3.179999999999932,11.572754190281463,40.75979621527531,B2_right_only,0.0,0.2,T7_pursuit,right,True,760
shared,1.0,,9.994375586537815,P01,0.11999999999999744,6.436705611856724,6.362553074337008,S1_both_slow,0.05,0.05,T7_pursuit,,True,780
shared,1.0,,31.635325809710185,P01,0.11999999999999744,23.391810249094114,7.11603497583575,S2_one_fast,0.2,0.05,T7_pursuit,,True,800
shared,1.0,,32.16438287654472,P01,0.11999999999999744,23.739541817374484,23.770409318591724,S3_both_fast,0.2,0.2,T7_pursuit,,True,820
shared,0.915,,45.83717650417364,P01,0.11999999999999744,34.30042849829598,10.83575412308912,S4_asymmetric,0.3,0.08,T7_pursuit,,True,840
shared,1.0,,29.442879493207915,P01,0.11999999999999744,23.25625865477401,3.399131876100009,B1_left_only,0.2,0.0,T7_pursuit,left,True,860
shared,1.0,,6.31759188480619,P01,13.959999999999702,3.4437835505190515,23.330677154546958,B2_right_only,0.0,0.2,T7_pursuit,right,True,880
direct,0.988,,45.486703270480646,P01,0.3199999999999932,24.114203750116044,23.992950305642676,S1_both_slow,0.05,0.05,T7_pursuit,,True,900
direct,0.082,,112.40062815937858,P01,0.3199999999999932,67.79084014888348,31.708234922128845,S2_one_fast,0.2,0.05,T7_pursuit,,True,920
direct,0.11,,127.78633348954094,P01,0.3199999999999932,73.89365383991614,73.27288285221238,S3_both_fast,0.2,0.2,T7_pursuit,,True,940
direct,0.043,,154.36613657209116,P01,0.3199999999999932,94.74462684986234,43.970788818063134,S4_asymmetric,0.3,0.08,T7_pursuit,,True,960
direct,0.067,,105.11284410681753,P01,0.3199999999999932,66.32361732339915,23.0394405940081,B1_left_only,0.2,0.0,T7_pursuit,left,True,980
direct,0.997,,42.26702955496827,P01,-11.579999999999753,23.03345712748485,66.4917757967835,B2_right_only,0.0,0.2,T7_pursuit,right,True,1000
shared,1.0,,10.545657447284531,P02,0.11999999999999744,6.4318894947304734,6.4100359486257155,S1_both_slow,0.05,0.05,T7_pursuit,,True,1020
shared,1.0,,30.45943468351829,P02,0.11999999999999744,23.348729829537703,7.1586732505726625,S2_one_fast,0.2,0.05,T7_pursuit,,True,1040
shared,1.0,,32.41502578806811,P02,0.11999999999999744,23.7413203781875,23.773362715175683,S3_both_fast,0.2,0.2,T7_pursuit,,True,1060
shared,0.937,,42.6180799217033,P02,0.11999999999999744,34.34506097713258,10.836515492459116,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1080
shared,1.0,,29.39550899097227,P02,0.11999999999999744,23.34209693715821,3.4236963802888853,B1_left_only,0.2,0.0,T7_pursuit,left,True,1100
shared,1.0,,7.1024991811035445,P02,9.339999999999801,3.5043410974840263,23.42415692726259,B2_right_only,0.0,0.2,T7_pursuit,right,True,1120
direct,0.987,,49.33351587033141,P02,0.3199999999999932,24.110002801441485,23.7059176981646,S1_both_slow,0.05,0.05,T7_pursuit,,True,1140
direct,0.096,,117.49448795260828,P02,0.3199999999999932,68.04031938825317,31.708528195293457,S2_one_fast,0.2,0.05,T7_pursuit,,True,1160
direct,0.092,,131.29627335019757,P02,0.3199999999999932,72.64997226886719,72.78575960525122,S3_both_fast,0.2,0.2,T7_pursuit,,True,1180
direct,0.034,,162.3469332209156,P02,0.3199999999999932,95.29008222497728,44.02282801472679,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1200
direct,0.083,,110.2108040162773,P02,0.3199999999999932,66.28277994554641,22.91416875015814,B1_left_only,0.2,0.0,T7_pursuit,left,True,1220
direct,0.995,,44.60940813856349,P02,-12.599999999999731,22.980605215975395,66.96235116103026,B2_right_only,0.0,0.2,T7_pursuit,right,True,1240
assisted,1.0,,26.047852935982963,P02,0.19999999999999574,13.590000252228743,13.284136351907257,S1_both_slow,0.05,0.05,T7_pursuit,,True,1260
assisted,0.472,,64.3298653569301,P02,0.19999999999999574,41.15854907665936,17.010406607410168,S2_one_fast,0.2,0.05,T7_pursuit,,True,1280
assisted,0.453,,69.39896304155982,P02,0.19999999999999574,42.567768631690804,43.14007260511016,S3_both_fast,0.2,0.2,T7_pursuit,,True,1300
assisted,0.108,,91.26978759185303,P02,0.19999999999999574,59.48297064616775,24.165981429314872,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1320
assisted,0.496,,60.49111987442694,P02,0.19999999999999574,40.70396516785601,11.658746594778526,B1_left_only,0.2,0.0,T7_pursuit,left,True,1340
assisted,1.0,,23.879208843128556,P02,-4.159999999999911,11.50736309023326,40.85426597151498,B2_right_only,0.0,0.2,T7_pursuit,right,True,1360
direct,0.99,,49.290699031091656,P03,0.2999999999999936,23.796395256080636,23.88571349003052,S1_both_slow,0.05,0.05,T7_pursuit,,True,1380
direct,0.085,,131.8663080911711,P03,0.3199999999999932,68.7484523839325,31.854374441792295,S2_one_fast,0.2,0.05,T7_pursuit,,True,1400
direct,0.092,,136.19054036628185,P03,0.3199999999999932,73.2207403904292,73.33085937403874,S3_both_fast,0.2,0.2,T7_pursuit,,True,1420
direct,0.038,,165.82119234121285,P03,0.3199999999999932,94.25595205979111,44.711482929374895,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1440
direct,0.067,,106.01144723617291,P03,0.3199999999999932,66.67626985992321,23.240144999400492,B1_left_only,0.2,0.0,T7_pursuit,left,True,1460
direct,0.995,,51.34005670104199,P03,4.799999999999898,22.903129268015487,66.86600793227402,B2_right_only,0.0,0.2,T7_pursuit,right,True,1480
assisted,1.0,,22.716302247019904,P03,0.19999999999999574,13.252182631266702,13.231993729779266,S1_both_slow,0.05,0.05,T7_pursuit,,True,1500
assisted,0.478,,65.52490356287619,P03,0.19999999999999574,41.342956372585526,17.2668536396694,S2_one_fast,0.2,0.05,T7_pursuit,,True,1520
assisted,0.447,,80.84591241962879,P03,0.19999999999999574,43.330534622309884,43.39238579141391,S3_both_fast,0.2,0.2,T7_pursuit,,True,1540
assisted,0.103,,94.92545527291905,P03,0.19999999999999574,59.24777817583556,24.3420713187877,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1560
assisted,0.486,,61.9949775005279,P03,0.19999999999999574,40.95766147021429,11.501586236877817,B1_left_only,0.2,0.0,T7_pursuit,left,True,1580
assisted,1.0,,25.828619262644693,P03,13.999999999999702,11.518168198885142,40.7772238558646,B2_right_only,0.0,0.2,T7_pursuit,right,True,1600
shared,1.0,,9.747518100334988,P03,0.11999999999999744,6.384250319031735,6.411627421424747,S1_both_slow,0.05,0.05,T7_pursuit,,True,1620
shared,1.0,,30.641055773014212,P03,0.11999999999999744,23.36243302853124,7.152434402367815,S2_one_fast,0.2,0.05,T7_pursuit,,True,1640
shared,1.0,,32.925659963534585,P03,0.11999999999999744,23.723191930487438,23.847315820687463,S3_both_fast,0.2,0.2,T7_pursuit,,True,1660
shared,0.919,,45.18600030565802,P03,0.11999999999999744,34.24304600587359,10.801109092440008,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1680
shared,1.0,,29.692087592802388,P03,0.11999999999999744,23.314982273233756,3.471470981564252,B1_left_only,0.2,0.0,T7_pursuit,left,True,1700
shared,1.0,,6.166001524237008,P03,18.579999999999604,3.4625477580712767,23.32291999614653,B2_right_only,0.0,0.2,T7_pursuit,right,True,1720
assisted,1.0,,24.51313162534792,P04,0.19999999999999574,13.39392068982343,13.230290253067905,S1_both_slow,0.05,0.05,T7_pursuit,,True,1740
assisted,0.463,,62.40930259042281,P04,0.19999999999999574,41.48373040804635,16.93332981654791,S2_one_fast,0.2,0.05,T7_pursuit,,True,1760
assisted,0.441,,73.16950614304842,P04,0.19999999999999574,43.368902004633675,43.285647156818214,S3_both_fast,0.2,0.2,T7_pursuit,,True,1780
assisted,0.107,,95.9434502306752,P04,0.19999999999999574,59.33071924766702,24.34234513535278,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1800
assisted,0.485,,60.1192526259964,P04,0.19999999999999574,40.599814688392634,11.507106119527752,B1_left_only,0.2,0.0,T7_pursuit,left,True,1820
assisted,1.0,,22.595065776703482,P04,-10.679999999999772,11.64845224489005,40.70203011343262,B2_right_only,0.0,0.2,T7_pursuit,right,True,1840
shared,1.0,,10.171588040598717,P04,0.11999999999999744,6.379264681268536,6.413041166485934,S1_both_slow,0.05,0.05,T7_pursuit,,True,1860
shared,1.0,,30.591299206129936,P04,0.11999999999999744,23.325422276701456,7.103595821285143,S2_one_fast,0.2,0.05,T7_pursuit,,True,1880
shared,1.0,,32.32746361033827,P04,0.11999999999999744,23.717640847994883,23.844303127022325,S3_both_fast,0.2,0.2,T7_pursuit,,True,1900
shared,0.934,,44.15674612914369,P04,0.11999999999999744,34.40448893673786,10.86601845003438,S4_asymmetric,0.3,0.08,T7_pursuit,,True,1920
shared,1.0,,28.812272534114864,P04,0.11999999999999744,23.33246256320697,3.4052638047377566,B1_left_only,0.2,0.0,T7_pursuit,left,True,1940
shared,1.0,,6.77130164406662,P04,-4.839999999999897,3.414924463017801,23.28994440837378,B2_right_only,0.0,0.2,T7_pursuit,right,True,1960
direct,0.986,,45.032822423496874,P04,0.2999999999999936,23.9521811698054,24.036727309712333,S1_both_slow,0.05,0.05,T7_pursuit,,True,1980
direct,0.095,,125.06283308154933,P04,0.3199999999999932,67.87294718743956,32.273115403329214,S2_one_fast,0.2,0.05,T7_pursuit,,True,2000
direct,0.099,,133.46721035380963,P04,0.2999999999999936,72.56786181359988,72.55474139898708,S3_both_fast,0.2,0.2,T7_pursuit,,True,2020
direct,0.027,,157.96591688776257,P04,0.3199999999999932,94.81810557538087,43.7053965839034,S4_asymmetric,0.3,0.08,T7_pursuit,,True,2040
direct,0.078,,111.24219290562719,P04,0.3199999999999932,66.23023764582618,22.694882834945016,B1_left_only,0.2,0.0,T7_pursuit,left,True,2060
direct,0.995,,43.28926832922258,P04,15.659999999999666,22.968899166646764,67.0174741081976,B2_right_only,0.0,0.2,T7_pursuit,right,True,2080
shared,1.0,,10.468784631236685,P05,0.11999999999999744,6.464207163168759,6.363862213587285,S1_both_slow,0.05,0.05,T7_pursuit,,True,2100
shared,1.0,,30.934324405572255,P05,0.11999999999999744,23.45471595302814,7.211908996339527,S2_one_fast,0.2,0.05,T7_pursuit,,True,2120
shared,1.0,,33.232748443559785,P05,0.11999999999999744,23.68555052827287,23.74496677688671,S3_both_fast,0.2,0.2,T7_pursuit,,True,2140
shared,0.914,,44.37097477976933,P05,0.11999999999999744,34.43264781943903,10.911574726668764,S4_asymmetric,0.3,0.08,T7_pursuit,,True,2160
shared,1.0,,29.646579094489837,P05,0.11999999999999744,23.311353696211647,3.4058257303428165,B1_left_only,0.2,0.0,T7_pursuit,left,True,2180
shared,1.0,,7.0893153626827905,P05,15.059999999999679,3.4510275086612485,23.294091835772704,B2_right_only,0.0,0.2,T7_pursuit,right,True,2200
direct,0.986,,44.050753620550935,P05,0.3199999999999932,24.099522492328056,23.88415209301117,S1_both_slow,0.05,0.05,T7_pursuit,,True,2220
direct,0.095,,111.61026643389482,P05,0.3199999999999932,68.04133167558082,31.998372060949,S2_one_fast,0.2,0.05,T7_pursuit,,True,2240
direct,0.101,,126.46796504868551,P05,0.3199999999999932,72.69996128062944,73.4433605376424,S3_both_fast,0.2,0.2,T7_pursuit,,True,2260
direct,0.036,,156.5351073275462,P05,0.3199999999999932,94.60565128508568,44.664325602302654,S4_asymmetric,0.3,0.08,T7_pursuit,,True,2280
direct,0.075,,104.85970475648823,P05,0.3199999999999932,66.73636823379469,22.869842301804706,B1_left_only,0.2,0.0,T7_pursuit,left,True,2300
direct,0.995,,45.01462704598583,P05,-17.259999999999632,22.712781961930652,66.02030726213691,B2_right_only,0.0,0.2,T7_pursuit,right,True,2320
assisted,1.0,,24.214031671052954,P05,0.19999999999999574,13.395902607051699,13.441561451848614,S1_both_slow,0.05,0.05,T7_pursuit,,True,2340
assisted,0.491,,65.00837971192628,P05,0.19999999999999574,41.15623197951714,17.072842793477456,S2_one_fast,0.2,0.05,T7_pursuit,,True,2360
assisted,0.434,,70.9541511395258,P05,0.19999999999999574,43.012073539017955,43.24714923635218,S3_both_fast,0.2,0.2,T7_pursuit,,True,2380
assisted,0.102,,87.32324570011474,P05,0.19999999999999574,59.15495679134825,24.194090895043093,S4_asymmetric,0.3,0.08,T7_pursuit,,True,2400
assisted,0.495,,64.124474700081,P05,0.19999999999999574,40.57108983691898,11.353787361847845,B1_left_only,0.2,0.0,T7_pursuit,left,True,2420
assisted,1.0,,21.829401288734022,P05,17.479999999999627,11.540952866836749,40.63033360461485,B2_right_only,0.0,0.2,T7_pursuit,right,True,2440
