condition,coupling,duration_s,height_diff_max_mm,height_diff_rms_mm,invalid_reason,min_sag_mm,participant,path_efficiency,scenario,sep_err_max_mm,sep_err_rms_mm,task,tilt_max_deg,tilt_rms_deg,time_above_threshold_s,valid,wear_time_s
assisted,compliant,7.18,7.368408923179803,3.2861691626444474,,44.20353791630819,P02,1.0,S4_tight,8.650541034155134,4.400574756442702,T6_compliant,1.2791169490448566,0.5705217165737699,0.0,True,2400
direct,compliant,4.78,12.698463818143768,6.121461930882968,,62.65779754613686,P03,1.0,S1_short_straight,16.7965752982569,7.741615120480336,T6_compliant,2.3456833909403434,1.1311444900994854,0.0,True,2460
direct,compliant,9.58,14.513695774331481,5.994785409926731,,61.70186557575866,P03,1.0,S2_long_height,17.52331083128117,7.3376423302862595,T6_compliant,2.680537802781456,1.1077277387058884,0.0,True,2520
direct,compliant,7.18,12.088077771327477,6.0061824212211405,,62.79244896030915,P03,0.7838508992371378,S3_curved_obstacle,16.69317932008907,7.96473763289162,T6_compliant,2.2330487877043663,1.1098447159008327,0.0,True,2580
direct,compliant,7.18,12.503397354878487,6.002818403228511,,23.04817687019311,P03,1.0,S4_tight,17.070319037450655,7.8536812067535,T6_compliant,2.169846605274882,1.0420123706151445,0.6600000000000006,True,2640
assisted,compliant,4.78,6.845232363555276,3.4362755132409486,,71.8468156111954,P03,1.0,S1_short_straight,9.142821235451793,4.131952388940699,T6_compliant,1.2649651560688524,0.6350655095701203,0.0,True,2700
assisted,compliant,9.58,8.092064179786806,3.306810269092583,,71.39165644677905,P03,1.0,S2_long_height,9.551131368894183,4.000216707112592,T6_compliant,1.4952769722475006,0.6111364085498538,0.0,True,2760
assisted,compliant,7.18,7.026162767484134,3.2611343118667238,,72.43023115373275,P03,0.7838508992371378,S3_curved_obstacle,8.877864902614663,4.265350598929602,T6_compliant,1.2983889036327643,0.6026976312707495,0.0,True,2820
assisted,compliant,7.18,6.4288954870477255,3.22282000575565,,43.80314823227693,P03,1.0,S4_tight,8.858579380491227,4.3324439208180365,T6_compliant,1.116066634253494,0.5595253310889003,0.0,True,2880
shared,compliant,4.78,2.968290122934647,1.5820130638398675,,77.0642733092657,P03,1.0,S1_short_straight,4.236202747645191,1.8579591707939578,T6_compliant,0.5485977392584112,0.29239126908388335,0.0,True,2940
shared,compliant,9.58,3.443125114392487,1.4928020496635934,,77.19597047455301,P03,1.0,S2_long_height,4.448328672476465,1.8568722610225663,T6_compliant,0.6363497607501443,0.275903344860569,0.0,True,3000
shared,compliant,7.18,3.3264093387064264,1.5070752892220758,,77.02468165443557,P03,0.7838508992371378,S3_curved_obstacle,4.275028699595229,1.9139288501854195,T6_compliant,0.6147803280714895,0.27854143495478934,0.0,True,3060
shared,compliant,7.18,2.993319972501851,1.4929908368777085,,51.44464338395299,P03,1.0,S4_tight,4.535191972969532,1.9600819853657625,T6_compliant,0.5196966598823554,0.2592152666808434,0.0,True,3120
assisted,compliant,4.78,6.5819987722526285,3.457936413922012,,71.80027466497758,P04,1.0,S1_short_straight,9.184714909932834,4.063571135548487,T6_compliant,1.2163357934605934,0.6390679413927078,0.0,True,3180
assisted,compliant,9.58,7.685268390836608,3.2568555580966487,,71.0104845691187,P04,1.0,S2_long_height,9.890675583136998,4.12586922684048,T6_compliant,1.4201395689794978,0.6019069982611294,0.0,True,3240
assisted,compliant,7.18,7.1682543390956255,3.316602609941812,,72.19080423966159,P04,0.7838508992371378,S3_curved_obstacle,8.832167657097322,4.397443088361532,T6_compliant,1.3246372334845427,0.6129476268972769,0.0,True,3300
assisted,compliant,7.18,6.602220817984783,3.3807200877881183,,43.66327511890749,P04,1.0,S4_tight,9.864555568115607,4.244215981316681,T6_compliant,1.1461482703067156,0.5869364826676459,0.0,True,3360
shared,compliant,4.78,3.328348422638072,1.584123802382973,,77.17810413484375,P04,1.0,S1_short_straight,4.124435484737232,1.9341608693611072,T6_compliant,0.6151386781591093,0.29278133181161176,0.0,True,3420
shared,compliant,9.58,3.3531797723402867,1.447848575419868,,76.86339691721878,P04,1.0,S2_long_height,4.432938569394029,1.8494276375243135,T6_compliant,0.6197276017884865,0.2675949422649315,0.0,True,3480
shared,compliant,7.18,3.1349230515238524,1.5364632837483234,,77.23411951767635,P04,0.7838508992371378,S3_curved_obstacle,4.885052491501396,1.948427977875474,T6_compliant,0.5793927013077578,0.2839727693339364,0.0,True,3540
shared,compliant,7.18,3.4886207940867386,1.5072902964208803,,51.39261213073839,P04,1.0,S4_tight,4.567179611984495,1.9812261579846584,T6_compliant,0.6056842488495799,0.2616978101379853,0.0,True,3600
direct,compliant,4.78,11.8381757899515,6.095391004246782,,63.07251805475736,P04,1.0,S1_short_straight,16.47730375162254,7.619408499485012,T6_compliant,2.1869293158603598,1.126334456560817,0.0,True,3660
direct,compliant,9.58,13.134112845667012,5.820258995682256,,60.51498067733451,P04,1.0,S2_long_height,18.407899500738733,7.612396777630198,T6_compliant,2.4260627115338624,1.0754961313349587,0.0,True,3720
direct,compliant,7.18,11.923206177668177,6.089455350398065,,62.03703862156722,P04,0.7838508992371378,S3_curved_obstacle,17.26995486335847,7.990543018022774,T6_compliant,2.202622015970272,1.1252323980074728,0.0,True,3780
direct,compliant,7.18,12.452846050425403,6.175252336750761,,22.325429105175616,P04,1.0,S4_tight,17.984287045062665,7.903647455190802,T6_compliant,2.161082238283363,1.0719434239293684,0.8400000000000007,True,3840
shared,compliant,4.78,3.20697153419669,1.5438723709542141,,77.82958398401456,P05,1.0,S1_short_straight,3.480818276814013,1.8463293239400764,T6_compliant,0.5927076757763675,0.2853423181703336,0.0,True,3900
shared,compliant,9.58,3.241193608375603,1.5236647065897506,,77.28083538511486,P05,1.0,S2_long_height,4.354277179812904,1.8470101088873647,T6_compliant,0.5990320898044654,0.2816072809690073,0.0,True,3960
shared,compliant,7.18,3.348880814941335,1.5293472119060876,,77.387891537253,P05,0.7838508992371378,S3_curved_obstacle,4.3882100015466,1.943922776417242,T6_compliant,0.618933139411875,0.2826575513433832,0.0,True,4020
shared,compliant,7.18,2.9624818492735017,1.4899243928100534,,51.383411999706794,P05,1.0,S4_tight,4.572831959012369,2.0056464492217785,T6_compliant,0.5143428706744505,0.2586828405833571,0.0,True,4080
direct,compliant,4.78,12.0893215657496,6.382010861282474,,61.892123285889475,P05,1.0,S1_short_straight,17.379688283584606,7.608377508125772,T6_compliant,2.2332783230786397,1.1792703446378734,0.0,True,4140
direct,compliant,9.58,12.581162143391555,6.064227724321017,,60.529286790245926,P05,1.0,S2_long_height,18.397353464757128,7.59044391653779,T6_compliant,2.3240390813476544,1.1205571308462707,0.0,True,4200
direct,compliant,7.18,12.938015941306613,5.999224342947531,,63.539425465821864,P05,0.7838508992371378,S3_curved_obstacle,16.114957715669732,7.810178650528146,T6_compliant,2.3898830622003997,1.1085630630312988,0.0,True,4260
direct,compliant,7.18,12.373511145615801,6.023968799277761,,19.29376841315628,P05,1.0,S4_tight,18.59304256270905,8.26993949520241,T6_compliant,2.1473272910405803,1.0456942723391698,0.7200000000000006,True,4320
assisted,compliant,4.78,6.801296125801493,3.4179204562417826,,72.46392140551065,P05,1.0,S1_short_straight,8.584243769436728,4.0863685055686405,T6_compliant,1.2568485689462672,0.6316730327576633,0.0,True,4380
assisted,compliant,9.58,7.518771052938078,3.3927030268822627,,71.26331429047852,P05,1.0,S2_long_height,9.66570060822275,4.056615187055455,T6_compliant,1.389385177851952,0.6270107706655247,0.0,True,4440
assisted,compliant,7.18,7.457536376638263,3.234019884594605,,72.38250406142245,P05,0.7838508992371378,S3_curved_obstacle,8.841290886035635,4.239879997512131,T6_compliant,1.3780740728174672,0.5976889755615293,0.0,True,4500
assisted,compliant,7.18,7.713240402770438,3.298604298246344,,46.389950247830825,P05,1.0,S4_tight,8.843089580933105,4.19292943803556,T6_compliant,1.3389565713190958,0.5726788965054458,0.0,True,4560
